Email,Password,Address,Last Name,First Name,Phone,Attendee Type,Affiliate Organization
natalie.johnson@testmail.com,987ikEiq,873 Cedar St,Johnson,Natalie,86769964,Alumni,HKCC
sophia.doe@email.com,3dIZRCtz,986 Pine St,Doe,Sophia,89527381,Guest,Others
john.doe@testmail.com,3qol2SKq,650 Willow St,Doe,John,93090119,Staff,HKCC
jane.brown@testmail.com,Xz6RkTDx,414 Cedar St,Brown,Jane,62761171,Staff,SPEED
grace.lee@testmail.com,QwwR4Ywm,16 Spruce St,Lee,Grace,45710394,Staff,PolyU
grace.anderson@example.com,KHjwXrAb,935 Maple St,Anderson,Grace,88647746,Staff,PolyU
amit.brown@email.com,7qLlm7s9,602 Oak St,Brown,Amit,47327883,Alumni,HKCC
natalie.taylor@testmail.com,EO8eoFOB,995 Maple St,Taylor,Natalie,16561552,Alumni,PolyU
john.lee@email.com,DFFVXhSD,711 Maple St,Lee,John,17472437,Guest,Others
emily.johnson@email.com,QUrLyzrn,156 Oak St,Johnson,Emily,26852142,Staff,PolyU
chris.chen@testmail.com,SFTQggy9,740 Birch St,Chen,Chris,10315316,Guest,Others
jane.williams@testmail.com,pDopyqip,906 Oak St,Williams,Jane,73922185,Staff,SPEED
natalie.chen@email.com,CxRPyhnN,55 Oak St,Chen,Natalie,92170967,Alumni,SPEED
grace.anderson@example.com,E4MfzmdZ,565 Cedar St,Anderson,Grace,57096112,Alumni,SPEED
chris.smith@email.com,DT9RaDpp,306 Maple St,Smith,Chris,40990837,Staff,PolyU
amit.patel@email.com,iiVBLKiU,853 Pine St,Patel,Amit,81309264,Staff,PolyU
john.johnson@email.com,oLj1gRKQ,764 Spruce St,Johnson,John,64018563,Guest,Others
mark.doe@testmail.com,6YcHL5e7,842 Willow St,Doe,Mark,39315178,Student,HKCC
chris.anderson@testmail.com,oUCVdaQK,488 Cedar St,Anderson,Chris,44597434,Student,PolyU
li.anderson@example.com,ucr1xjO1,842 Spruce St,Anderson,Li,54711973,Alumni,SPEED
mark.lee@testmail.com,1zWYpou9,132 Cedar St,Lee,Mark,27363697,Alumni,PolyU
grace.brown@example.com,OquHjAEq,518 Oak St,Brown,Grace,25133724,Staff,SPEED
grace.clark@testmail.com,sQUcaRoK,720 Willow St,Clark,Grace,75421467,Guest,Others
amit.taylor@testmail.com,43YQijEd,183 Spruce St,Taylor,Amit,99025172,Student,PolyU
jane.williams@email.com,uQETkdHp,157 Spruce St,Williams,Jane,14942237,Alumni,PolyU
john.patel@testmail.com,xsa2sOEJ,976 Spruce St,Patel,John,42295852,Student,SPEED
anna.lee@email.com,il0h37AX,932 Birch St,Lee,Anna,60354974,Guest,Others
grace.chen@email.com,a7ypRuac,169 Cedar St,Chen,Grace,24079911,Student,PolyU
sophia.doe@example.com,wyPwkxV5,577 Willow St,Doe,Sophia,75200922,Staff,HKCC
grace.patel@example.com,4v9bdOeU,469 Spruce St,Patel,Grace,23483811,Staff,SPEED
jane.patel@testmail.com,EQMaPAcI,601 Maple St,Patel,Jane,87346583,Alumni,PolyU
emily.lee@example.com,0t4HgKc7,436 Pine St,Lee,Emily,15263818,Student,SPEED
anna.taylor@example.com,XWAkqUTS,685 Spruce St,Taylor,Anna,32310617,Student,SPEED
emily.doe@email.com,JGCU1zDb,461 Birch St,Doe,Emily,31106165,Guest,Others
grace.anderson@email.com,9PIzFMYa,522 Birch St,Anderson,Grace,64060769,Staff,PolyU
emily.johnson@testmail.com,nWbiJZfq,329 Cedar St,Johnson,Emily,10705653,Alumni,PolyU
sophia.lee@email.com,CZQtJcOr,619 Cedar St,Lee,Sophia,10096730,Guest,Others
li.doe@testmail.com,WsqIhZCY,525 Pine St,Doe,Li,32073445,Staff,PolyU
grace.lee@testmail.com,Fgvlkm7O,833 Maple St,Lee,Grace,57669000,Student,PolyU
mark.johnson@email.com,1KWemmG8,177 Cedar St,Johnson,Mark,43718649,Student,HKCC
tom.doe@testmail.com,tUs1hgFG,403 Pine St,Doe,Tom,63246608,Guest,Others
li.clark@example.com,St0RnFGL,925 Cedar St,Clark,Li,98223708,Alumni,HKCC
chris.doe@email.com,LZAvZi80,584 Birch St,Doe,Chris,12041061,Staff,HKCC
grace.johnson@testmail.com,SGepHKG8,53 Oak St,Johnson,Grace,35853461,Student,SPEED
mark.brown@email.com,18hZ3VXt,154 Birch St,Brown,Mark,94691383,Guest,Others
tom.brown@example.com,znxUxm1e,467 Maple St,Brown,Tom,30457131,Guest,Others
jane.lee@email.com,XL1XMSfD,384 Maple St,Lee,Jane,23106376,Student,PolyU
chris.clark@email.com,U6lubhPF,983 Oak St,Clark,Chris,33678977,Guest,Others
emily.lee@example.com,hmktAxAK,799 Pine St,Lee,Emily,73372324,Alumni,PolyU
mark.williams@testmail.com,IVwP1xFJ,113 Maple St,Williams,Mark,68399824,Staff,HKCC
grace.anderson@testmail.com,zTYtmr1g,910 Cedar St,Anderson,Grace,94868167,Student,SPEED
john.williams@testmail.com,fgCTpY8B,906 Willow St,Williams,John,86042892,Staff,HKCC
john.smith@email.com,8Ax5P1go,865 Willow St,Smith,John,77816899,Student,PolyU
john.williams@example.com,bWdE4IwZ,822 Oak St,Williams,John,76158056,Staff,SPEED
anna.chen@email.com,0Zip6pqL,343 Cedar St,Chen,Anna,53826279,Guest,Others
mark.patel@testmail.com,jEtILikA,243 Birch St,Patel,Mark,35762405,Student,PolyU
jane.lee@example.com,VBpL738L,344 Maple St,Lee,Jane,52220993,Alumni,HKCC
li.lee@example.com,6AbXrpmn,860 Willow St,Lee,Li,75614146,Staff,PolyU
amit.taylor@testmail.com,8VoWoDbJ,577 Oak St,Taylor,Amit,83319816,Alumni,SPEED
anna.johnson@email.com,Ecj0INLc,682 Birch St,Johnson,Anna,86648405,Alumni,SPEED
emily.taylor@testmail.com,xOMk2zlk,159 Pine St,Taylor,Emily,15769698,Student,SPEED
tom.patel@email.com,KTbvzGTC,889 Birch St,Patel,Tom,30684227,Alumni,HKCC
jane.lee@testmail.com,fsipj5Nd,124 Willow St,Lee,Jane,24928643,Staff,HKCC
emily.brown@example.com,zDvObBat,918 Spruce St,Brown,Emily,97237153,Student,PolyU
john.lee@example.com,ltyrbkPh,111 Maple St,Lee,John,62159958,Student,HKCC
tom.anderson@email.com,DPbnBaGD,957 Pine St,Anderson,Tom,10611612,Guest,Others
emily.williams@testmail.com,yAL336YO,494 Maple St,Williams,Emily,33499365,Student,HKCC
tom.brown@email.com,oPfhTVbb,283 Maple St,Brown,Tom,43617567,Alumni,SPEED
sophia.williams@example.com,l3i6fHW3,665 Spruce St,Williams,Sophia,59662906,Guest,Others
tom.patel@testmail.com,KnnXPpU5,893 Willow St,Patel,Tom,44850335,Staff,HKCC
grace.clark@testmail.com,jnRGNCR5,360 Willow St,Clark,Grace,93645857,Alumni,SPEED
john.patel@email.com,feCSYPq2,390 Birch St,Patel,John,27408026,Guest,Others
john.chen@email.com,JEZQOEMq,750 Oak St,Chen,John,93943699,Student,HKCC
sophia.lee@email.com,oo1WcxZ4,170 Willow St,Lee,Sophia,83023131,Guest,Others
mark.lee@email.com,qIxIDjii,517 Cedar St,Lee,Mark,64121251,Staff,SPEED
li.taylor@example.com,9VKqIx4i,272 Spruce St,Taylor,Li,75118732,Guest,Others
grace.smith@email.com,rxAcIpkv,154 Birch St,Smith,Grace,15038690,Alumni,PolyU
natalie.smith@email.com,7VX8EVXv,409 Cedar St,Smith,Natalie,45558728,Guest,Others
mark.smith@testmail.com,jGoX3WEl,142 Pine St,Smith,Mark,68929424,Staff,PolyU
grace.chen@testmail.com,ngAOV3R0,625 Birch St,Chen,Grace,47794348,Staff,HKCC
sophia.lee@testmail.com,GYorDfOn,484 Oak St,Lee,Sophia,81907236,Alumni,SPEED
grace.johnson@email.com,W0Ce88K3,908 Oak St,Johnson,Grace,47352458,Student,PolyU
amit.smith@example.com,r9601Sp5,145 Spruce St,Smith,Amit,36199915,Staff,SPEED
chris.chen@email.com,ZmJaYX5Q,738 Spruce St,Chen,Chris,97792356,Student,SPEED
anna.taylor@email.com,d1c8NFr2,630 Maple St,Taylor,Anna,71127530,Alumni,SPEED
grace.smith@example.com,IdQ30W2D,819 Willow St,Smith,Grace,68141361,Staff,HKCC
emily.doe@example.com,ZalWTOA8,264 Birch St,Doe,Emily,51794084,Alumni,SPEED
grace.patel@email.com,ebr3KKkr,134 Spruce St,Patel,Grace,21291100,Student,SPEED
natalie.patel@testmail.com,dk5bcSj8,416 Willow St,Patel,Natalie,23313451,Alumni,SPEED
anna.clark@email.com,kGxZJ2ET,66 Maple St,Clark,Anna,41851563,Alumni,HKCC
chris.johnson@email.com,lgNKqWM5,288 Oak St,Johnson,Chris,42164691,Guest,Others
chris.lee@email.com,lYtDZfZW,839 Willow St,Lee,Chris,68765164,Guest,Others
sophia.anderson@email.com,H6wVM5ke,144 Oak St,Anderson,Sophia,27284416,Guest,Others
amit.doe@testmail.com,fN3rXND2,289 Cedar St,Doe,Amit,49273605,Staff,PolyU
sophia.lee@testmail.com,Z4qgjls9,344 Spruce St,Lee,Sophia,15533212,Guest,Others
mark.patel@testmail.com,ZVDmfJWR,873 Cedar St,Patel,Mark,34273421,Staff,PolyU
jane.williams@example.com,6Rkp53Gy,106 Willow St,Williams,Jane,73840375,Guest,Others
chris.chen@testmail.com,QeAV8UnA,771 Oak St,Chen,Chris,94421644,Guest,Others
sophia.anderson@email.com,VXU99HUu,605 Maple St,Anderson,Sophia,95638242,Staff,SPEED
li.taylor@testmail.com,N2eOKjdS,75 Maple St,Taylor,Li,80133780,Student,SPEED
li.lee@testmail.com,uJdSB3qN,450 Maple St,Lee,Li,85404247,Student,PolyU
anna.williams@example.com,L2x6zGet,520 Oak St,Williams,Anna,58446644,Alumni,PolyU
emily.taylor@testmail.com,AOtIVF4R,899 Maple St,Taylor,Emily,11001643,Staff,SPEED
chris.lee@email.com,EoUa5W4H,430 Pine St,Lee,Chris,45653073,Guest,Others
anna.johnson@example.com,1Ca8Qfo3,342 Oak St,Johnson,Anna,54242285,Staff,PolyU
chris.smith@example.com,7UEpAKO7,750 Cedar St,Smith,Chris,62755868,Guest,Others
mark.brown@testmail.com,FfiIeLk2,694 Pine St,Brown,Mark,69018585,Alumni,HKCC
emily.anderson@email.com,RwMEfYXP,192 Cedar St,Anderson,Emily,38135529,Student,PolyU
jane.chen@testmail.com,mmhpSfan,201 Willow St,Chen,Jane,53625171,Staff,SPEED
jane.chen@email.com,LwP3qyRY,673 Oak St,Chen,Jane,31568494,Student,PolyU
jane.lee@email.com,efGN4KuO,25 Pine St,Lee,Jane,32528120,Staff,SPEED
li.williams@email.com,EsLlnNwS,879 Birch St,Williams,Li,88158849,Student,HKCC
grace.williams@example.com,kVt1iDS7,223 Oak St,Williams,Grace,60905034,Staff,SPEED
emily.patel@example.com,xK6tnsPB,170 Oak St,Patel,Emily,84157009,Staff,PolyU
amit.clark@example.com,JcSA2tcX,39 Pine St,Clark,Amit,29806913,Staff,HKCC
sophia.brown@testmail.com,nNWNn0oO,380 Maple St,Brown,Sophia,57710161,Student,HKCC
natalie.doe@email.com,l4YBfoiG,62 Maple St,Doe,Natalie,79743867,Student,SPEED
grace.patel@testmail.com,IaypMn0I,646 Cedar St,Patel,Grace,17894615,Student,PolyU
chris.johnson@email.com,DfAAIszi,447 Cedar St,Johnson,Chris,37378750,Guest,Others
jane.clark@email.com,vIyDxI2J,939 Cedar St,Clark,Jane,88748584,Staff,SPEED
grace.doe@email.com,zMQfsycZ,962 Oak St,Doe,Grace,21944104,Guest,Others
john.lee@example.com,xg6af905,958 Cedar St,Lee,John,63470597,Alumni,HKCC
sophia.patel@email.com,IePvzVRJ,405 Cedar St,Patel,Sophia,34651112,Staff,PolyU
li.patel@testmail.com,li3i5Aql,154 Pine St,Patel,Li,43826468,Staff,PolyU
mark.clark@example.com,g2ZPni8L,72 Spruce St,Clark,Mark,97262907,Student,SPEED
tom.taylor@example.com,7OComDWo,348 Willow St,Taylor,Tom,14467509,Guest,Others
tom.smith@example.com,2krIpr9c,847 Spruce St,Smith,Tom,46507168,Student,PolyU
jane.clark@testmail.com,jigJkUCO,604 Spruce St,Clark,Jane,98463400,Guest,Others
anna.lee@example.com,3F1QLx52,495 Pine St,Lee,Anna,35772828,Alumni,HKCC
natalie.patel@testmail.com,ACGtSOPc,1 Maple St,Patel,Natalie,78851887,Student,PolyU
tom.clark@testmail.com,dZTm7pQs,123 Oak St,Clark,Tom,14411141,Student,HKCC
grace.brown@example.com,DIcnP8MI,546 Willow St,Brown,Grace,92799513,Alumni,PolyU
amit.smith@email.com,lnQzUbrM,830 Willow St,Smith,Amit,62202126,Staff,HKCC
anna.brown@email.com,oQawLAnT,756 Cedar St,Brown,Anna,94875628,Staff,PolyU
sophia.anderson@email.com,eYI7DjHf,613 Willow St,Anderson,Sophia,81292106,Student,PolyU
sophia.chen@email.com,z5OIiyTi,33 Pine St,Chen,Sophia,24984898,Alumni,PolyU
sophia.anderson@testmail.com,02Fil4ed,867 Cedar St,Anderson,Sophia,86487020,Student,PolyU
anna.patel@example.com,BaTG1m1s,813 Birch St,Patel,Anna,61281366,Guest,Others
anna.chen@email.com,tD0ATHLN,817 Spruce St,Chen,Anna,90887649,Staff,SPEED
emily.taylor@testmail.com,sC0lJPDZ,321 Cedar St,Taylor,Emily,66088818,Alumni,PolyU
tom.johnson@email.com,J69Koczv,834 Oak St,Johnson,Tom,66296993,Alumni,SPEED
tom.doe@email.com,yEBUgoMx,312 Spruce St,Doe,Tom,68755491,Guest,Others
tom.chen@email.com,hVQKwT8m,297 Willow St,Chen,Tom,62592233,Alumni,SPEED
mark.taylor@example.com,poWK4oFD,36 Pine St,Taylor,Mark,95110834,Student,SPEED
emily.smith@testmail.com,BJkCJtSZ,826 Oak St,Smith,Emily,50386231,Student,PolyU
emily.lee@example.com,rwHGNyfD,384 Cedar St,Lee,Emily,95250809,Alumni,HKCC
mark.lee@example.com,ggb8uiIh,148 Pine St,Lee,Mark,44084958,Alumni,HKCC
jane.williams@email.com,XNXt5nm5,453 Maple St,Williams,Jane,59742004,Guest,Others
john.lee@example.com,KPxrHWM4,67 Pine St,Lee,John,71070911,Alumni,HKCC
jane.williams@example.com,o4UMCePm,224 Maple St,Williams,Jane,79156207,Alumni,SPEED
john.williams@email.com,CX4e0wm2,852 Pine St,Williams,John,29422219,Alumni,SPEED
anna.doe@email.com,okRHvNMn,714 Birch St,Doe,Anna,84450120,Staff,PolyU
mark.anderson@testmail.com,DjQNPF4E,975 Willow St,Anderson,Mark,64791289,Student,HKCC
li.johnson@example.com,V51tluDb,991 Oak St,Johnson,Li,61648513,Alumni,SPEED
mark.williams@example.com,ZKYEeL51,513 Birch St,Williams,Mark,85683673,Staff,PolyU
grace.brown@email.com,1SnrI3l9,868 Spruce St,Brown,Grace,65041980,Alumni,SPEED
tom.brown@example.com,9ZoxyzSZ,731 Pine St,Brown,Tom,57022501,Staff,SPEED
amit.lee@example.com,ZsuTdWbN,943 Willow St,Lee,Amit,36408670,Alumni,PolyU
anna.brown@example.com,DsWGoItM,767 Spruce St,Brown,Anna,74614900,Student,PolyU
grace.patel@testmail.com,D3yaOtJk,629 Pine St,Patel,Grace,97952618,Alumni,SPEED
sophia.williams@example.com,bsk8vHkP,387 Cedar St,Williams,Sophia,51402105,Staff,HKCC
anna.doe@email.com,y5U4lZ71,721 Birch St,Doe,Anna,15804283,Alumni,HKCC
anna.williams@testmail.com,ElyWN8TF,38 Cedar St,Williams,Anna,12159175,Alumni,PolyU
natalie.clark@email.com,KMBz3THO,18 Maple St,Clark,Natalie,20872565,Staff,HKCC
tom.taylor@email.com,bNVn4h3r,841 Cedar St,Taylor,Tom,84313769,Student,HKCC
li.williams@testmail.com,8F9lvi10,850 Spruce St,Williams,Li,37683064,Alumni,SPEED
anna.lee@testmail.com,K6NyYA9S,979 Cedar St,Lee,Anna,50130409,Alumni,SPEED
grace.chen@example.com,iFZafaP1,358 Birch St,Chen,Grace,50555706,Alumni,SPEED
amit.chen@example.com,dPMBBtqA,458 Oak St,Chen,Amit,27287474,Staff,SPEED
anna.chen@email.com,Vl0IjTjT,631 Birch St,Chen,Anna,32103840,Guest,Others
jane.brown@testmail.com,C2c2bmWY,87 Cedar St,Brown,Jane,30962175,Student,SPEED
emily.patel@email.com,IXozzdrH,75 Oak St,Patel,Emily,70263927,Alumni,PolyU
